Year,Lat,Lon,days_below_55F,days_below_32F,days_below_28F,days_below_26F,annual_min_temp_F
1956,33.5,-80.25,149,18,6,0,26.318146
1956,33.5,-80.0,143,15,3,1,25.062628
1956,33.5,-79.75,149,23,8,3,22.323517
1956,33.5,-79.5,148,25,9,3,22.021173
1956,33.5,-79.25,127,8,1,0,27.59344
1956,33.25,-95.0,164,30,16,8,21.664776
1956,33.25,-94.75,162,32,17,8,23.185724
1956,33.25,-94.5,159,31,13,6,23.322834
1956,33.25,-94.25,160,29,12,5,23.329865
1956,33.25,-94.0,160,27,9,5,23.403692
1956,33.25,-93.75,161,29,9,4,23.452911
1956,33.25,-93.5,157,25,8,2,25.136896
1956,33.25,-93.25,154,25,7,2,24.649982
1956,33.25,-93.0,152,24,6,2,24.523418
1956,33.25,-92.75,154,23,6,2,24.671955
1956,33.25,-92.5,159,25,7,2,24.014532
1956,33.25,-92.25,159,26,7,2,23.979376
1956,33.25,-92.0,156,27,7,4,23.121563
1956,33.25,-91.75,154,27,6,4,22.390314
1956,33.25,-91.5,152,22,6,2,23.49422
1956,33.25,-91.25,153,16,5,2,24.116486
1956,33.25,-91.0,152,18,3,2,23.986408
1956,33.25,-90.75,152,16,3,3,24.21668
1956,33.25,-90.5,150,14,3,3,24.06551
1956,33.25,-90.25,156,21,7,3,22.603008
1956,33.25,-90.0,157,24,6,3,23.533772
1956,33.25,-89.75,159,26,9,4,22.130157
1956,33.25,-89.5,164,27,9,4,21.273224
1956,33.25,-89.25,165,27,7,4,21.125568
1956,33.25,-89.0,164,26,7,4,21.723225
1956,33.25,-88.75,167,34,10,4,21.157207
1956,33.25,-88.5,164,30,9,4,21.800568
1956,33.25,-88.25,157,25,9,4,22.59378
1956,33.25,-88.0,155,29,9,5,22.267267
1956,33.25,-87.75,158,29,9,5,21.63797
1956,33.25,-87.5,160,28,9,6,21.768047
1956,33.25,-87.25,165,30,9,7,22.232111
1956,33.25,-87.0,171,30,12,9,21.688068
1956,33.25,-86.75,172,30,14,9,20.886066
1956,33.25,-86.5,171,29,12,7,22.15213
1956,33.25,-86.25,174,30,14,9,22.169708
1956,33.25,-86.0,174,32,16,9,21.703888
1956,33.25,-85.75,178,33,13,8,22.58543
1956,33.25,-85.5,177,31,9,8,23.067072
1956,33.25,-85.25,177,29,11,8,22.350323
1956,33.25,-85.0,177,30,17,10,21.390558
1956,33.25,-84.75,180,33,17,10,21.323761
1956,33.25,-84.5,179,32,16,10,21.789581
1956,33.25,-84.25,175,31,14,9,22.57005
1956,33.25,-84.0,167,29,11,7,23.302618
1956,33.25,-83.75,164,24,10,4,23.794806
1956,33.25,-83.5,162,23,10,5,23.97762
1956,33.25,-83.25,166,23,11,5,23.664728
1956,33.25,-83.0,166,25,11,6,23.1888
1956,33.25,-82.75,165,26,11,5,23.801397
1956,33.25,-82.5,164,24,10,5,24.170538
1956,33.25,-82.25,160,21,9,3,24.29007
1956,33.25,-82.0,159,24,9,5,23.492023
1956,33.25,-81.75,159,24,9,6,23.716145
1956,33.25,-81.5,158,24,7,6,23.255596
1956,33.25,-81.25,157,23,7,3,23.540363
1956,33.25,-81.0,153,24,8,2,23.039825
1956,33.25,-80.75,150,24,8,3,23.03631
1956,33.25,-80.5,144,20,7,2,24.375763
1956,33.25,-80.25,143,19,4,0,26.0492
1956,33.25,-80.0,136,9,0,0,28.62791
1956,33.25,-79.75,142,20,5,1,24.407404
1956,33.25,-79.5,127,7,1,0,27.579376
